CompanyName,Brand,EV ModelName,VehicleType,VehicleCMVRCategory,IncentiveAmountInINR,Range,Speed,Acceleration,Warranty,EnergyConsumption,BatteryTechnology,BatteryCapacity,BatteryCycles
BULKe,BULKe,BULKe 1.0,ThreeWheeler ( e-3W,L5N,89642,148.1,40,0.65,3,8.66,Lithium FerroPhosphate,9.8,1500
TriLux,TriLux,TriLux,ThreeWheeler ( e-3W,L5M,79821,148.1,40,0.65,3,8.66,Lithium Ion(Lithium FerroPhosphate),9.8,1500
KhalsaAgencies,KhalsaAgencies,Khalsa Grand,ThreeWheeler ( e-3W,e-rickshaw,37000,120.13,0,0,3,4.72,Lithium ion(Lithium Ironphosphate),4.4,2000
Kinetic GreenEnergy &PowerSolutions Ltd,Kinetic,**KineticSAFARSMART LFP,ThreeWheeler ( e-3W,e-rickshaw,37000,112,0,0,3,5.65,Lithium ion,3.7,2000
Kinetic GreenEnergy &PowerSolutions Ltd,Kinetic,SAFARSHAKTI LFP,ThreeWheeler ( e-3W,e-cart,41000,100,0,0,3,7.9,Lithium ion,4.1,1500
Kinetic GreenEnergy &PowerSolutions Ltd,Kinetic,KINETICSAFARSMART,ThreeWheeler ( e-3W,e-rickshaw,41000,126,0,0,3,7.7,Lithium IronPhosphate LiFePO4,4.1,1500
Kinetic GreenEnergy &PowerSolutions Ltd,Kinetic,**KINETICSAFAR STAR400,ThreeWheeler ( e-3W,L5N,42000,83.5,42.6,0.68,3,9.83,Li ion battery(NickelManganeseCobalt),4.2,2000
Kinetic GreenEnergy &PowerSolutions Ltd,Kinetic,KINETICSAFARJUMBOPICKUP,ThreeWheeler ( e-3W,L5N,82000,142,45.4,0.7,3,8.3,Li ion battery(Lithium IronPhosphate),8.2,2000
Lectrix EvPvt. ltd.,Lectrix Ev,ecity zipD40,Two Wheeler( e-2W,L1,30000,89,40,0.65,3,3.65,Lithium Ion,2,1000
Lectrix EvPvt. ltd.,Lectrix Ev,ecity zipC40,Two Wheeler( e-2W,L1,30000,89,40,0.65,3,3.65,Lithium Ion,2,1000
Li-ionsElektrikSolutions PvtLtd,Li-ionsElektrik,**SPOCK,Two Wheeler( e-2W,L1,27465,107.38,40,0.65,3,4.03,Lithium ion,2.9,1500
Lohia AutoIndustries,Lohia Auto,NARAIN i,ThreeWheeler ( e-3W,e-rickshaw,37695,112.91,0,0,3,4.51,Lithium ion(Lithium Ironphosphate),3.8,1000
